姓名,日期,岗位,薪资,年限,学历,城市,人员
张先生,2025-12-01 15:28:25,华聚阳招聘电工,7-8K,1-3年,学历不限,重庆,0-20人
彭女士,2025-12-02 15:28:25,小初全职上课老师,4-8K,1-3年,学历不限,长沙,100-499人
李先生,2025-12-03 15:28:25,销售助理,5-8K,经验不限,大专,南京,20-99人
郑先生,2025-12-04 15:28:25,汽车美容,6-9K,经验不限,本科,西安,0-20人
李女士,2025-12-05 15:28:25,全屋定制设计师,4-5K,1-3年,大专,南京,0-20人
邹先生,2025-12-06 15:28:25,曲靖云南人家招聘厨师,2-3K,经验不限,本科,重庆,100-499人
戴女士,2025-12-07 15:28:25,美甲师,5-6K,1-3年,大专,成都,0-20人
张先生,2025-12-08 15:28:25,书法老师,3-5K,1年以内,学历不限,西安,0-20人
邱先生,2025-12-09 15:28:25,汽车美容,5-6K,1-3年,学历不限,石家庄,0-20人
李女士,2025-12-10 15:28:25,化妆师,4-8K,3-5年,学历不限,大连,20-99人
宁女士,2025-12-11 15:28:25,美容师美术师,3-8K,经验不限,高中,重庆,0-20人
黄女士,2025-12-12 15:28:25,彩妆培训讲师,4-5K,经验不限,高中,广州,100-499人
蒋先生,2025-12-13 15:28:25,汽车美容,3-4K,1-3年,学历不限,桂林,10000人以上
李先生,2025-12-14 15:28:25,办公室文员,2-3K,1-3年,本科,重庆,0-20人
张女士,2025-12-15 15:28:25,舞蹈教师,8-9K,1年以内,学历不限,长沙,0-20人
王先生,2025-12-16 15:28:25,办公室主任 文员,2-3K,3-5年,学历不限,贵阳,0-20人
曹女士,2025-12-17 15:28:25,物理教师,5-9K,1年以内,硕士,宁波,1000-9999人